sample_id,sample_group,cohort,cells_before,cells_after,retention_pct,median_features,median_counts,median_mito
GSM3814885,H9_D0,H9_core,8179,8178,99.99,3612,18267,4.3193
GSM3814886,H9_D4,H9_core,3778,3760,99.52,4958,32496.5,4.4996
GSM3814887,H9_D6,H9_core,4127,4112,99.64,4782,23901,5.2531
GSM3814888,H9_D8_rep1,H9_core,5285,5276,99.83,4948,23221,3.7616
GSM3814890,H9_D8_rep3,H9_late,7165,7156,99.87,4355,19965,3.5371
GSM3814891,H9_D12,H9_late,6492,6482,99.85,3728,13699,2.6474
GSM3814898,HDLEC,reference_ec,5135,5110,99.51,4439,23342,3.5388
GSM3814899,HPAEC,reference_ec,7663,7618,99.41,3358,14315,4.2282
GSM3814900,HUVEC,reference_ec,4282,4271,99.74,4992.5,29840,3.5798
