sample_id,file_name,sample_group,cohort,day,cell_line,protocol,stage,sample_kind
GSM3814885,GSM3814885_day0_filtered_gene_bc_matrices_h5.h5,H9_D0,H9_core,0,H9,original,Pluripotent,derived
GSM3814886,GSM3814886_day4_filtered_gene_bc_matrices_h5.h5,H9_D4,H9_core,4,H9,original,Mesoderm,derived
GSM3814887,GSM3814887_day6_filtered_gene_bc_matrices_h5.h5,H9_D6,H9_core,6,H9,original,Early_differentiation,derived
GSM3814888,GSM3814888_day8_rep1_filtered_gene_bc_matrices_h5.h5,H9_D8_rep1,H9_core,8,H9,original,Late_differentiation,derived
GSM3814890,GSM3814890_day8_rep3_filtered_gene_bc_matrices_h5.h5,H9_D8_rep3,H9_late,8,H9,original,Late_differentiation,derived
GSM3814891,GSM3814891_day12_filtered_gene_bc_matrices_h5.h5,H9_D12,H9_late,12,H9,original,Late_differentiation,derived
GSM3814898,GSM3814898_hdlec_filtered_gene_bc_matrices_h5.h5,HDLEC,reference_ec,,HDLEC,reference,Reference_EC,reference
GSM3814899,GSM3814899_hpaec_filtered_gene_bc_matrices_h5.h5,HPAEC,reference_ec,,HPAEC,reference,Reference_EC,reference
GSM3814900,GSM3814900_huvec_filtered_gene_bc_matrices_h5.h5,HUVEC,reference_ec,,HUVEC,reference,Reference_EC,reference
